id,text
1,"Finanzauto es una empresa colombiana que se especializa en la financiación de vehículos. Ofrece diferentes tipos de créditos para la compra de autos nuevos y usados, así como soluciones de leasing."
2,"Los créditos de Finanzauto están diseñados para ajustarse a las necesidades de sus clientes, permitiendo financiar hasta el 100% del valor del vehículo con plazos flexibles que van desde los 12 hasta los 72 meses."
3,"El leasing financiero de Finanzauto es una opción atractiva para empresas y personas que desean utilizar un vehículo sin tener que comprarlo directamente. El cliente paga un canon mensual y al final del contrato tiene la opción de adquirir el vehículo."
4,"En Finanzauto, los clientes pueden acceder a una amplia red de concesionarios a nivel nacional, donde pueden gestionar su crédito vehicular y recibir asesoría personalizada para elegir el vehículo y la financiación más adecuados."
5,"La compañía también ofrece seguros vehiculares como parte del proceso de financiación, facilitando a los clientes obtener una póliza para proteger su vehículo nuevo o usado contra riesgos como accidentes, robos y daños materiales."
6,"El proceso de solicitud de crédito en Finanzauto es sencillo y rápido. Los interesados pueden ingresar a la página web y simular su crédito vehicular completando un formulario con sus datos personales, valor del vehículo y plazos deseados."
7,"Además de los créditos y leasing, Finanzauto ofrece otros productos financieros, como la refinanciación de vehículos y la compra de cartera, que permiten a los clientes mejorar las condiciones de su deuda actual."
8,"Finanzauto está comprometido con ofrecer servicios de alta calidad a través de su plataforma digital, donde los usuarios pueden consultar el estado de su crédito, descargar documentos y realizar pagos en línea."
9,"En Finanzauto Estamos certificados por Bureau Veritas en Colocación y Cobro de Cartera para Crédito de Vehículos."
10,"Finanzauto esta comprometida con el respeto hacia los Derechos Humanos, razón por la cual rechazamos cualquier acción que contribuya a la afectación de los mismos. Adicionalmente, reconocemos la importancia de que los trabajadores conozcan, comprenden y ejerzan sus actividades diarias implementando el respeto y el valor que los Derechos Humanos requieren."
11,"Establecemos mecanismos de prevención de las conductas de acoso laboral, dando cumplimiento a la normatividad nacional vigente."
12,"Estamos certificados por Bureau Veritas en Colocación y Cobro de Cartera para Crédito de Vehículos."
13,"Finanzauto esta comprometida con la implementación del Sistema de Gestión de Seguridad y Salud en el Trabajo, dando cumplimiento la legislación nacional vigente aplicable en materia de riesgos laborales y demás requisitos que haya suscrito la Compañía."
14,"De acuerdo a lo previsto en la Ley 1581 de 2012 y el Decreto 1074 de 2015, así como toda la normatividad vigente, hemos implementado la Política del Sistema Integral de Protección de Datos Personales."  
15,"Garantizamos la confidencialidad, integridad y disponibilidad de la información, asegurando que los trabajadores sigan prácticas seguras y coherentes en el uso y manejo de los datos."